carpark_id,area,address,latitude,longitude,x_coordinate,y_coordinate,total_lots,agency,dataset
C0119,GEYLANG,CEYLON ROAD OFF STREET,1.309854976,103.8994331,35357.921,32462.723,4,URA,lta
C0133,SINGAPORE RIVER,CARPENTER STREET OFF STREET,1.288265761,103.8481829,29654.2722,30075.4067,9,URA,lta
C0148,NEWTON,CLEMENCEAU AVENUE NORTH (NEWTON FC),1.311099802,103.8397544,28716.2497,32600.2734,99,URA,lta
C0162,MUSEUM,CLEMENCEAU AVENUE OFF STREET,1.293973246,103.8445168,29246.2593,30706.5089,9,URA,lta
C10,CLEMENTI,"BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5",1.318463207,103.7689629,20837.8461,33414.5726,1070,HDB,hdb
C11,CLEMENTI,"BLK 321-322,324-326 CLEMENTI AVENUE 5",1.314800833,103.7661308,20522.6462,33009.6141,134,HDB,hdb
C12,CLEMENTI,"BLK 301-302,305-308 CLEMENTI AVENUE 4",1.321789844,103.7661061,20519.9139,33782.4237,493,HDB,hdb
C13M,CLEMENTI,BLK 309A CLEMENTI AVENUE 4,1.320563371,103.7661798,20528.1198,33646.8063,440,HDB,hdb
C14M,CLEMENTI,BLK 318A CLEMENTI AVENUE 4,1.317392375,103.7651855,20417.4455,33296.1766,328,HDB,hdb
C15M,CLEMENTI,BLK 440 CLEMENTI AVENUE 3,1.316254186,103.7640464,20290.6787,33170.3249,289,HDB,hdb
C16,CLEMENTI,BLK 430-435 CLEMENTI AVENUE 3,1.314313927,103.7624816,20116.5191,32955.7857,280,HDB,hdb
C17,CLEMENTI,"BLK 442-444,442A CLEMENTI AVENUE 3",1.313857729,103.7638966,20273.9935,32905.3373,67,HDB,hdb
C18,CLEMENTI,BLK 426/428 CLEMENTI AVENUE 3,1.312271663,103.7633744,20215.8784,32729.9597,124,HDB,hdb
C18A,CLEMENTI,BLK 426/427 CLEMENTI AVENUE 3,1.311756081,103.764187,20306.3068,32672.9468,33,HDB,hdb
C19M,CLEMENTI,BLK 445 CLEMENTI AVENUE 3,1.313363009,103.7638546,20269.322,32850.6337,563,HDB,hdb
C20,CLEMENTI,BLK 449-451 CLEMENTI AVENUE 3,1.313347821,103.7652617,20425.9232,32848.95,176,HDB,hdb
C20M,CLEMENTI,BLK 462A CLEMENTI AVENUE 3,1.311504255,103.7656508,20469.2131,32645.0967,673,HDB,hdb
C21L,CLEMENTI,BLK 454 TO 460 CLEMENTI AVENUE 3,1.31101494,103.7670417,20624.0039,32590.9865,24,HDB,hdb
C21M,CLEMENTI,BLK 455A CLEMENTI AVENUE 3,1.311661194,103.7665267,20566.6991,32662.4476,481,HDB,hdb
C22M,CLEMENTI,BLK 109A CLEMENTI STREET 11,1.321650304,103.7703399,20991.1005,33766.9817,260,HDB,hdb
C24,CLEMENTI,BLK 110/118 CLEMENTI STREET 13,1.324197621,103.7712867,21096.4707,34048.6484,579,HDB,hdb
C25,CLEMENTI,BLK 101-104 CLEMENTI STREET 14,1.322351236,103.7689889,20840.7482,33844.4911,216,HDB,hdb
C26,CLEMENTI,BLK 105-107 CLEMENTI STREET 12,1.322587761,103.7699291,20945.3775,33870.6421,68,HDB,hdb
C27,CLEMENTI,BLK 108/109 CLEMENTI STREET 11,1.322242263,103.7705128,21010.3372,33832.437,38,HDB,hdb
C28M,CLEMENTI,BLK 208 CLEMENTI AVENUE 6,1.322361744,103.7620715,20070.902,33845.674,356,HDB,hdb
C29,CLEMENTI,BLK 501-505 WEST COAST DRIVE,1.312614612,103.7592318,19754.8437,32767.8945,189,HDB,hdb
C29A,CLEMENTI,BLK 503 WEST COAST DRIVE,1.311360936,103.7591849,19749.6211,32629.2695,102,HDB,hdb
C2M,CLEMENTI,BLK 463 CLEMENTI AVENUE 1,1.310928216,103.7678806,20717.3694,32581.3946,765,HDB,hdb
C30,CLEMENTI,BLK 507-509 WEST COAST DRIVE,1.311458097,103.7614211,19998.4863,32640.0059,211,HDB,hdb
C31,CLEMENTI,BLK 510/511 WEST COAST ROAD,1.310563194,103.7605991,19907.0039,32541.0547,145,HDB,hdb
C32,CLEMENTI,BLK 514–519 WEST COAST ROAD,1.6654,103.9582,13899.2611,33035.197,419,HDB,hdb
C33,CLEMENTI,BLK 601-613 CLEMENTI WEST STREET 1,1.304559438,103.7668576,20603.5028,31877.1704,805,HDB,hdb
C34,CLEMENTI,BLK 702/703 WEST COAST ROAD,1.307010315,103.7609363,19944.5184,32148.1942,147,HDB,hdb
C35,CLEMENTI,BLK 704-714 CLEMENTI WEST STREET 2,1.305612302,103.7614392,20000.4883,31993.6074,647,HDB,hdb
C36,CLEMENTI,BLK 728/729 CLEMENTI WEST STREET 2,1.305309675,103.7635574,20236.2232,31960.1377,86,HDB,hdb
C37,CLEMENTI,"BLK 720-727,730-731 CLEMENTI WEST STREET 2",1.303538317,103.7639717,20282.323,31764.2687,423,HDB,hdb
C38,CLEMENTI,BLK 715-717 CLEMENTI WEST STREET 2,1.302806668,103.7625268,20121.5156,31683.3711,265,HDB,hdb
C3M,CLEMENTI,BLK 416A CLEMENTI AVENUE 1,1.309813588,103.770131,20967.8189,32458.1382,1237,HDB,hdb
C3ML,CLEMENTI,"BLK 419, 420 AND 420A CLEMENTI AVENUE 1",1.31039274,103.7690923,20852.22,32522.1809,21,HDB,hdb
C40L,CLEMENTI,BLK 801A TO 801C WEST COAST CRESCENT,1.300790896,103.7638889,20273.1009,31460.4731,6,HDB,hdb
C40M,CLEMENTI,BLK 801 WEST COAST CRESCENT,1.299709096,103.7639106,20275.5121,31340.853,379,HDB,hdb
C4M,CLEMENTI,BLK 413A COMMONWEALTH AVENUE WEST,1.311480109,103.7705025,21009.1656,32642.4126,442,HDB,hdb
C5,CLEMENTI,"BLK 358-360,362-363,366-367 CLEMENTI AVENUE 2",1.313102659,103.7695739,20905.8297,32821.8286,651,HDB,hdb
C6,CLEMENTI,BLK 328-334 CLEMENTI AVENUE 2,1.314488114,103.7676912,20696.2978,32975.0306,332,HDB,hdb
C7,CLEMENTI,BLK 349-355 CLEMENTI AVENUE 2,1.314883872,103.770755,21037.2754,33018.7828,30,HDB,hdb
C8,CLEMENTI,BLK 335/338 CLEMENTI AVENUE 2,1.316674657,103.7686311,20800.9102,33216.8047,347,HDB,hdb
